1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
64,10,2
65,11,2
66,12,2
67,13,2
68,20,2
69,21,2
70,22,2
71,23,2
72,24,2
73,25,2
74,26,2
75,27,2
76,28,2
77,29,2
79,1,3
80,2,3
81,3,3
82,4,3
83,5,3
84,6,3
85,7,3
86,8,3
87,9,3
88,20,3
89,21,3
90,22,3
91,23,3
92,24,3
93,25,3
94,26,3
95,27,3
96,28,3
97,29,3
